"# Quad.",Ca,Cb,Pm,Pn,"Spac. Coef",Level,Depth,"K factor"
1,1,16,6,11,5,5,13.11,157.08
2,1,15,6,10,4,5,12.46,176.71
3,1,13,5,9,4,4,10.49,125.66
4,1,16,7,10,3,6,13.79,282.74
5,1,14,6,9,3,5,11.82,209.44
6,1,12,5,8,3,4,9.84,146.61
7,1,10,4,7,3,3,7.86,94.25
8,1,15,7,9,2,6,13.12,376.99
9,1,13,6,8,2,5,11.16,274.89
10,1,11,5,7,2,4,9.19,188.50
11,1,9,4,6,2,3,7.22,117.81
12,1,7,3,5,2,2,5.24,62.83
13,1,12,6,7,1,5,10.46,471.24
14,1,10,5,6,1,4,8.52,314.16
15,1,8,4,5,1,3,6.56,188.50
16,1,6,3,4,1,2,4.60,94.25
17,1,4,2,3,1,1,2.62,31.42
18,2,16,7,11,4,5,12.46,176.71
19,2,14,6,10,4,4,10.49,125.66
20,2,15,7,10,3,5,11.82,209.44
21,2,13,6,9,3,4,9.84,146.61
22,2,11,5,8,3,3,7.86,94.25
23,2,16,8,10,2,6,13.12,376.99
24,2,14,7,9,2,5,11.16,274.89
25,2,12,6,8,2,4,9.19,188.50
26,2,10,5,7,2,3,7.22,117.81
27,2,8,4,6,2,2,5.24,62.83
28,2,13,7,8,1,5,10.46,471.24
29,2,11,6,7,1,4,8.52,314.16
30,2,9,5,6,1,3,6.56,188.50
31,2,7,4,5,1,2,4.60,94.25
32,2,5,3,4,1,1,2.62,31.42
33,3,15,7,11,4,4,10.49,125.66
34,3,16,8,11,3,5,11.82,209.44
35,3,14,7,10,3,4,9.84,146.61
36,3,12,6,9,3,3,7.86,94.25
37,3,15,8,10,2,5,11.16,274.89
38,3,13,7,9,2,4,9.19,188.50
39,3,11,6,8,2,3,7.22,117.81
40,3,9,5,7,2,2,5.24,62.83
41,3,14,8,9,1,5,10.46,471.24
42,3,12,7,8,1,4,8.52,314.16
43,3,10,6,7,1,3,6.56,188.50
44,3,8,5,6,1,2,4.60,94.25
45,3,6,4,5,1,1,2.62,31.42
46,4,16,8,12,4,4,10.49,125.66
47,4,15,8,11,3,4,9.84,146.61
48,4,13,7,10,3,3,7.86,94.25
49,4,16,9,11,2,5,11.16,274.89
50,4,14,8,10,2,4,9.19,188.50
51,4,12,7,9,2,3,7.22,117.81
52,4,10,6,8,2,2,5.24,62.83
53,4,15,9,10,1,5,10.46,471.24
54,4,13,8,9,1,4,8.52,314.16
55,4,11,7,8,1,3,6.56,188.50
56,4,9,6,7,1,2,4.60,94.25
57,4,7,5,6,1,1,2.62,31.42
58,5,16,9,12,3,4,9.84,146.61
59,5,14,8,11,3,3,7.86,94.25
60,5,15,9,11,2,4,9.19,188.50
61,5,13,8,10,2,3,7.22,117.81
62,5,11,7,9,2,2,5.24,62.83
63,5,16,10,11,1,5,10.46,471.24
64,5,14,9,10,1,4,8.52,314.16
65,5,12,8,9,1,3,6.56,188.50
66,5,10,7,8,1,2,4.60,94.25
67,5,8,6,7,1,1,2.62,31.42
68,6,15,9,12,3,3,7.86,94.25
69,6,16,10,12,2,4,9.19,188.50
70,6,14,9,11,2,3,7.22,117.81
71,6,12,8,10,2,2,5.24,62.83
72,6,15,10,11,1,4,8.52,314.16
73,6,13,9,10,1,3,6.56,188.50
74,6,11,8,9,1,2,4.60,94.25
75,6,9,7,8,1,1,2.62,31.42
76,7,16,10,13,3,3,7.86,94.25
77,7,15,10,12,2,3,7.22,117.81
78,7,13,9,11,2,2,5.24,62.83
79,7,16,11,12,1,4,8.52,314.16
80,7,14,10,11,1,3,6.56,188.50
81,7,12,9,10,1,2,4.60,94.25
82,7,10,8,9,1,1,2.62,31.42
83,8,16,11,13,2,3,7.22,117.81
84,8,14,10,12,2,2,5.24,62.83
85,8,15,11,12,1,3,6.56,188.50
86,8,13,10,11,1,2,4.60,94.25
87,8,11,9,10,1,1,2.62,31.42
88,9,15,11,13,2,2,5.24,62.83
89,9,16,12,13,1,3,6.56,188.50
90,9,14,11,12,1,2,4.60,94.25
91,9,12,10,11,1,1,2.62,31.42
92,10,16,12,14,2,2,5.24,62.83
93,10,15,12,13,1,2,4.60,94.25
94,10,13,11,12,1,1,2.62,31.42
95,11,16,13,14,1,2,4.60,94.25
96,11,14,12,13,1,1,2.62,31.42
97,12,15,13,14,1,1,2.62,31.42
98,13,16,14,15,1,1,2.62,31.42
